v2paid,country_text_id,v2paenname,v2paorname,v2pashname,aliases,year,v2pariglef,v2pariglef_ord,v2xpa_antiplural,v2xpa_popul
8043,ARG,Concertation Party,,FORJA,Concertation Party | FORJA,2007,-0.829,2.0,0.119,0.456
8059,ARG,Frente Justicialista-Justicialist [Peronist] Party,,FP-PJ,FP-PJ | Frente Justicialista | Frente Justicialista-Justicialist [Peronist] Party | Justicialist Party | PJ | Partido Justicialista,2019,-0.465,2.0,0.128,0.642
8122,ARG,Federal Consensus,,CF,CF | Consenso Federal | Federal Consensus,2019,0.073,3.0,0.043,0.329
93508,ARG,alliance: Alianza Popular,,Alianza Popular,,1973,0.515,3.0,0.516,0.608
93509,ARG,alliance: Frente Amplio Progresista,,Frente Ampli...,,2011,-1.268,2.0,0.036,0.492
2007,ARM,Rule of Law / Armenian Renaissance,"Armenian: Օրինաց երկիր / Հայկական վերածնունդ,",OEK/HV,Armenian Renaissance Party | LGCPA | Law-Governed Country Party of Armenia | OEK | OEK/HV | OEKHV | Orinats' Yerkir | Orinats’ Yerkir / Haykakan veratsnund | Rule of Law | Rule of Law / Armenian Renaissance | Rule of Law Country | Rule of Law Party | Օրինաց երկիր,2012,1.059,4.0,0.403,0.552
2008,ARM,Justice,,A,Ardarutyun | Justice,2003,0.129,3.0,0.366,0.763
2009,ARM,National Democratic Union,,AZhM,AZhM | Azgayin Zhoghovrdakan Miutyun | NDU | National Democratic Union | Ազգային ժողովրդավարական միություն,1999,1.228,4.0,0.27,0.499
2010,ARM,National Self-Determination Union,,AIM,AIM | Azgayin Inknoroshum Miavorum | National Self-Determination Union | Union for National Self-Determination,1995,1.142,4.0,0.254,0.583
2011,ARM,National Unity,Armenian: Ազգային միաբանություն,AM,AGzM | AM | Azgayin Gzoghovrdakan Miutyun | Azgayin Miabanutyun | NUP | National Democratic Party | National Unity | National Unity Party | Unity | Unity Bloc | Ազգային միաբանություն,2003,0.811,4.0,0.665,0.712
2013,ARM,Republican Party of Armenia,"Armenian: Հայաստանի Հանրապետական Կուսակցություն, ՀՀԿ",HHK,HHK | Hayastani Hanrapetakan Kusaksutyun | Hayastani Hanrapetakan Kusaktsutyun | Miasnutyun | RPA | Republic Party | Republican Movement | Republican Party of Armenia | Republican Party of Armenia First Candidate | Unity | Հայաստանի Հանրապետական Կուսակցություն,2017,1.476,4.0,0.706,0.22
2015,ARM,Semiramis (Women’s Movement),,Sha,SW'P | Semiramis (Women’s Movement) | Semiramis Women’s Movement | Sha | Shamiram | Shamiram Women's Party,1995,1.028,4.0,0.699,0.175
2016,ARM,United Labour Party,,MAK,MAK | Miavorvac Ashkhatankayin Kusaktsutyun | ULP | United Labour Party | Միավորված աշխատանքային կուսակցություն,2003,-0.402,3.0,0.627,0.57
2018,ARM,Armenian Communist Party,"Armenian: Հայաստանի կոմունիստական կուսակցություն, ՀԿԿ",HKK,ACP | Armenian Communist Party | Communist | Communist Party of Armenia | HKK | Hayastani Komunistakan Kusaktsutyun,1999,-2.835,1.0,0.8,0.884
2020,ARM,Armenian Revolutionary Federation,,HHD,ARF | Armenian Revolutionary Federatioin | Armenian Revolutionary Federation | HHD | Hay Heghapokhakan Dashnaktsutyun | Հայ Յեղափոխական Դաշնակցութիւն,2017,-0.852,2.0,0.565,0.414
3783,ARM,Heritage Party,Armenian:,HePa,HePa | Heritage | Heritage Party | Zharangutyun | Ժառանգություն,2012,2.086,5.0,0.161,0.838
4205,ARM,Prosperous Armenia Party,Armenian: Բարգավաճ Հայաստան կուսակցություն,BHK,BH | BHK | Bargavach Hayastani Kusaktsutyun | Bargavadj Hayastan Kusaktsutyun | Bargavatch Hayastan kusaktsut’yun | PAP | Prosperous Armenia | Prosperous Armenia Party | Բարգավաճ Հայաստան Կուսակցություն,2018,0.64,4.0,0.691,0.548
